更新提示：,#genre#
多年以后, https://vd2.bdstatic.com/mda-nhh1k0x48y6yf3t3/sc/cae_h264/1660786840444964591/mda-nhh1k0x48y6yf3t3.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101804-0-0-8ba930de76cc5f3b35b8f9073082ffac&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2004519209&vid=3326032770398347186&abtest=104959_2&klogid=2004519209
甜蜜蜜, https://vd4.bdstatic.com/mda-nhi1q4truesxqxuq/sc/cae_h264/1660894451896075956/mda-nhi1q4truesxqxuq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101805-0-0-b1b6b0e18c48cfe742014dddfdc77133&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2005929589&vid=18056024416716518085&abtest=104959_2&klogid=2005929589
天若有情, https://vd2.bdstatic.com/mda-nhh1j64camascxp2/sc/cae_h264/1660787144539170631/mda-nhh1j64camascxp2.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101810-0-0-e485e889f4d4ab779b993394a87911e0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2010581087&vid=2687977488994785560&abtest=104959_2&klogid=2010581087
人在江湖飘, https://vd4.bdstatic.com/mda-nhf27b3w57cm1nrd/sc/cae_h264/1660614424353653538/mda-nhf27b3w57cm1nrd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101815-0-0-9fd6c5e081dc68e0378650432515d172&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2015895646&vid=14988028202364241845&abtest=104959_2&klogid=2015895646
新打工谣, https://vd2.bdstatic.com/mda-nhf1qhwsx4yqg8ba/sc/cae_h264/1660612695026252891/mda-nhf1qhwsx4yqg8ba.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101981-0-0-f7a9f36ae5526c706b9ce6a0d62e2690&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2181249234&vid=13476380673677624546&abtest=104959_2&klogid=2181249234
相信自己, https://vd4.bdstatic.com/mda-nhf26m5qahazv0pt/sc/cae_h264/1660624588334006692/mda-nhf26m5qahazv0pt.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101817-0-0-5dd347aaab96f1806c8ed0652d90abe3&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2017923550&vid=3478434072691654472&abtest=104959_2&klogid=2017923550
你家在哪里, https://vd2.bdstatic.com/mda-nhd1v3mfknip2yaq/sc/cae_h264/1660443604976382547/mda-nhd1v3mfknip2yaq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101821-0-0-5ab66ca1093d26f6bc71c4328d5a284e&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2021370123&vid=4108798918356974830&abtest=104959_2&klogid=2021370123
红尘有你, https://vd3.bdstatic.com/mda-nhb1nx8k4xfsep3n/sc/cae_h264/1660283807001164457/mda-nhb1nx8k4xfsep3n.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101822-0-0-8b54e69c80096e7d53c7aff1d0e598fc&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2022951701&vid=9081027338093963157&abtest=104959_2&klogid=2022951701
难以抗拒, https://vd4.bdstatic.com/mda-nh828hkpw7ub76je/sc/cae_h264/1660049894627792209/mda-nh828hkpw7ub76je.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101830-0-0-2000922402ab68c94c5de8d559b08e31&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2030182590&vid=2610008648867092025&abtest=104959_2&klogid=2030182590
像我这样的人, https://vd3.bdstatic.com/mda-nh92ui5u5nq5ycjd/sc/cae_h264/1660097445710337336/mda-nh92ui5u5nq5ycjd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101832-0-0-d23a87c754f339fb81f0174549b59dc6&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2032927484&vid=731164549559976541&abtest=104959_2&klogid=2032927484
父亲, https://vd3.bdstatic.com/mda-nh62mqmbifuar8rz/sc/cae_h264/1659859426354262394/mda-nh62mqmbifuar8rz.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101836-0-0-b362200023ed93fb33fa1975962fdd1d&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2036454512&vid=8594200827217631217&abtest=104959_2&klogid=2036454512
逆战, https://vd3.bdstatic.com/mda-ngw38rsr5j7vkyua/sc/cae_h264/1659234306857407468/mda-ngw38rsr5j7vkyua.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102158-0-0-cee40a86f49a348e7903c7eaef7ab27c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2357971376&vid=17434268547560777667&abtest=104959_2&klogid=2357971376
梁祝, https://vd4.bdstatic.com/mda-jmwnmgpdwytsdpqr/v1-cae/sc/mda-jmwnmgpdwytsdpqr.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102301-0-0-69cefa52966e83f6628e03cc2441a11a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2501183271&vid=4023744792679793088&abtest=104959_2&klogid=2501183271





牛批,#genre#
开挂特工, https://vd4.bdstatic.com/mda-nhkahm13h0pgny6g/sc/cae_h264/1661067134953918516/mda-nhkahm13h0pgny6g.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102406-0-0-561c53798d64dedd345f6d8549c3ba85&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2606010396&vid=779144650533872012&abtest=104959_2&klogid=2606010396
男人闯进山洞, https://vd2.bdstatic.com/mda-njgb3dcnrnznaraq/sc/cae_h264/1665993393814242015/mda-njgb3dcnrnznaraq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102458-0-0-2d9a92ad5240a1fadaa927af797d95f8&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2658594688&vid=2789100418890781673&abtest=104959_2&klogid=2658594688
男人闯进山洞,, https://vd4.bdstatic.com/mda-njgayyk0wyst7tc6/sc/cae_h264/1665993007925661401/mda-njgayyk0wyst7tc6.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102500-0-0-8084702b87344dc5e9f95c3f9dc5249a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2700423321&vid=10714675870484077605&abtest=104959_2&klogid=2700423321
男人闯进山洞,  https://vd2.bdstatic.com/mda-njgask6d2a7tpwhj/sc/cae_h264/1665992545405801816/mda-njgask6d2a7tpwhj.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102501-0-0-c912c960b70521ea4c58c13b35eac960&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2701535154&vid=7343869248920026063&abtest=104959_2&klogid=2701535154
万能鼠标, https://vd2.bdstatic.com/mda-nh6eavytvegwergk/sc/cae_h264/1659867946241217629/mda-nh6eavytvegwergk.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102580-0-0-e7381acbb420477c07b94d4d60bbe6bc&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2780418967&vid=12191424263592413910&abtest=104959_2&klogid=2780418967
30年后的手机, https://vd4.bdstatic.com/mda-njh0yhkd2d91sd4t/360p/h264/1666053909063954943/mda-njh0yhkd2d91sd4t.mp4?auth_key=1666102623-0-0-2d227aff2fa7b54838fb5fbe4213b8b6&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=&logid=2823223259&vid=8412796804977962335&pt=0&appver=&model=&cr=0&abtest=peav_l52&sle=1&sl=323&split=679823
欠揍贩卖机, https://vd2.bdstatic.com/mda-ngeejipg9dqp72rj/sc/cae_h264/1657880935687460222/mda-ngeejipg9dqp72rj.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102652-0-0-e592a4d3f5a8d188b566b30bfcc06bc2&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2852055180&vid=17997243782033497439&abtest=104959_2&klogid=2852055180
暴脾气, https://vd3.bdstatic.com/mda-nhn64qizbihv52dd/sc/cae_h264/1661243555974091830/mda-nhn64qizbihv52dd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103379-0-0-4b5a9afe62c97026322e6e67e616deeb&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3579242017&vid=866720035880468461&abtest=104959_2&klogid=3579242017

好日子,#genre#
抗日, https://vd4.bdstatic.com/mda-nj0gmv11mv4f7ei6/sc/cae_h264/1664625938119649899/mda-nj0gmv11mv4f7ei6.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102715-0-0-04035b2fc51c56384d809e263c0e0420&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2915686189&vid=3401782275976894885&abtest=104959_2&klogid=2915686189
太爽了, https://vd4.bdstatic.com/mda-nic5d6ptxavba5ri/sc/cae_h264/1663041738711413123/mda-nic5d6ptxavba5ri.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102724-0-0-733a9f900ed9f42128b33526e9b5c071&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2923953800&vid=9545153307846837605&abtest=104959_2&klogid=2923953800
二爽, https://vd3.bdstatic.com/mda-ni5f6xb18kfb7x65/sc/cae_h264/1662462951583861283/mda-ni5f6xb18kfb7x65.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102732-0-0-41c4787ebb842eb43b3f06a480751082&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2932172103&vid=8517027966247877761&abtest=104959_2&klogid=2932172103
三爽, https://vd2.bdstatic.com/mda-nhv52rfb3mtp6suv/sc/cae_h264/1661834087174005580/mda-nhv52rfb3mtp6suv.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102747-0-0-97c63de484ba7dbaa53bf8cdb21339ad&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2947127361&vid=3650655058622985986&abtest=104959_2&klogid=2947127361
四爽,https://vd2.bdstatic.com/mda-nhv52m0fa0imj9zi/sc/cae_h264/1661833153631667840/mda-nhv52m0fa0imj9zi.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103099-0-0-730da589ba95a39dd1fb1d16b7bdcba2&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3298930033&vid=11362901412757191886&abtest=104959_2&klogid=3298930033 
五爽, https://vd2.bdstatic.com/mda-nhv52hft375y8xrd/sc/cae_h264/1661832843040711106/mda-nhv52hft375y8xrd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103102-0-0-b0002ef857dfbc96288e90a052d78727&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3301923076&vid=2390428364177394906&abtest=104959_2&klogid=3301923076
六爽, https://vd2.bdstatic.com/mda-nhs3338566028k86/sc/cae_h264/1661567359007688919/mda-nhs3338566028k86.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103105-0-0-399a106fb7632605ba9af8513dd4dee5&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3305051510&vid=16153009109059707393&abtest=104959_2&klogid=3305051510
七爽, https://vd2.bdstatic.com/mda-nhg2aupzwiwi6me5/sc/cae_h264/1660701063563176894/mda-nhg2aupzwiwi6me5.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103481-0-0-8d81ab5b2e25b46486d7f70352930898&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=0081907142&vid=13228866640868553696&abtest=104959_2&klogid=0081907142
八爽, https://vd3.bdstatic.com/mda-nh2fpdasd88ivkx9/720p/h264/1659524693733916043/mda-nh2fpdasd88ivkx9.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103493-0-0-1e5a73c7c957d5f6d4509292255029e8&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=0093283131&vid=15535975653560617797&abtest=104959_2&klogid=0093283131
九爽, https://vd4.bdstatic.com/mda-nh2ehwun7n624hvw/sc/cae_h264/1659524723174102304/mda-nh2ehwun7n624hvw.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103497-0-0-e83951343440f2b7ffc43d12b6624d38&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=0097534657&vid=8006838544118634015&abtest=104959_2&klogid=0097534657
十爽, https://vd2.bdstatic.com/mda-nh2ehz27usa063jk/sc/cae_h264/1659525233541266899/mda-nh2ehz27usa063jk.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103724-0-0-08af2fe28b5f05511800958b55c1a88d&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=0324435207&vid=11139781193732259776&abtest=104959_2&klogid=0324435207
十一爽, https://vd3.bdstatic.com/mda-nhphmgf3augwudwc/sc/cae_h264/1661391799462993004/mda-nhphmgf3augwudwc.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103382-0-0-c6ebe50581d385be8ac04b69229aadf1&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3582671419&vid=4319842518330699854&abtest=104959_2&klogid=3582671419
十二爽,https://vd2.bdstatic.com/mda-nhpk23em440kfxb0/sc/cae_h264/1661359177736100632/mda-nhpk23em440kfxb0.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103109-0-0-9a740bdafdb18d25d711a539239863e1&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3309753353&vid=8301576058904599509&abtest=104959_2&klogid=3309753353 
SBRB, https://vd4.bdstatic.com/mda-ni5f6qdce63eqaqv/sc/cae_h264/1662462412510510881/mda-ni5f6qdce63eqaqv.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102737-0-0-5f062a5ff89445d91046780d0104b636&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2937789960&vid=3976725229757221995&abtest=104959_2&klogid=2937789960
江西移动,#genre#
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.134.115.221:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225751/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225752/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225753/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225754/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225755/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225756/index.m3u8
CCTV5+,http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://39.134.115.221:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://39.134.115.221:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://39.134.115.221:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.134.115.221:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.134.115.221:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.134.115.221:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://39.134.115.221:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.115.221:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.134.115.221:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV10,http://39.134.115.221:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.134.115.221:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://39.134.115.221:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.134.115.221:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.134.115.221:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV13,http://39.134.115.221:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.134.115.221:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,http://39.134.115.221:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV15,http://39.134.115.221:8080/PLTV/88888910/224/3221225641/index.m3u8
CETV,http://39.134.115.221:8080/PLTV/88888910/224/3221225661/index.m3u8
CGTN,http://39.134.115.221:8080/PLTV/88888910/224/3221225747/index.m3u8
CGTN记录,http://39.134.115.221:8080/PLTV/88888910/224/3221225645/index.m3u8
CNC,http://39.134.115.221:8080/PLTV/88888910/224/3221225693/index.m3u8
CNC2,http://39.134.115.221:8080/PLTV/88888910/224/3221225694/index.m3u8
安徽卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225737/index.m3u8
北京卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225674/index.m3u8
东方卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225659/index.m3u8
东南卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225657/index.m3u8
甘肃卫视SD,http://39.134.115.221:8080/PLTV/88888910/224/3221225724/index.m3u8
广东卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225701/index.m3u8
广东卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225742/index.m3u8
广西卫视SD,http://39.134.115.221:8080/PLTV/88888910/224/3221225731/index.m3u8
贵州卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225722/index.m3u8
河北卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225732/index.m3u8
黑龙江卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225736/index.m3u8
湖北卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225740/index.m3u8
湖南卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225745/index.m3u8
吉林卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225680/index.m3u8
江苏卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225743/index.m3u8
江西卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225746/index.m3u8
辽宁卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225735/index.m3u8
内蒙古卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225667/index.m3u8
宁夏卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视SD,http://39.134.115.221:8080/PLTV/88888910/224/3221225727/index.m3u8
山东卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225697/index.m3u8
山东卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225738/index.m3u8
山西卫视SD,http://39.134.115.221:8080/PLTV/88888910/224/3221225730/index.m3u8
陕西卫视SD,http://39.134.115.221:8080/PLTV/88888910/224/3221225729/index.m3u8
深圳卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225700/index.m3u8
深圳卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225741/index.m3u8
四川卫视SD,http://39.134.115.221:8080/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225698/index.m3u8
天津卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225739/index.m3u8
西藏卫视SD,http://39.134.115.221:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225725/index.m3u8
云南卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225664/index.m3u8
浙江卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225744/index.m3u8
重庆卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225692/index.m3u8
重庆卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225734/index.m3u8
北京纪实科教,http://39.134.115.221:8080/PLTV/88888910/224/3221225675/index.m3u8
北京纪实科教,http://39.134.115.221:8080/PLTV/88888910/224/3221225676/index.m3u8
北京卡酷,http://39.134.115.221:8080/PLTV/88888910/224/3221225677/index.m3u8
财经电视剧,http://39.134.115.221:8080/PLTV/88888910/224/3221225765/index.m3u8
财经电影,http://39.134.115.221:8080/PLTV/88888910/224/3221225766/index.m3u8
财经体育,http://39.134.115.221:8080/PLTV/88888910/224/3221225767/index.m3u8
超级电视剧,http://39.134.115.221:8080/PLTV/88888910/224/3221225625/index.m3u8
超级电影,http://39.134.115.221:8080/PLTV/88888910/224/3221225623/index.m3u8
超级体育,http://39.134.115.221:8080/PLTV/88888910/224/3221225622/index.m3u8
超级体育,http://39.134.115.221:8080/PLTV/88888910/224/3221225648/index.m3u8
超级综艺,http://39.134.115.221:8080/PLTV/88888910/224/3221225620/index.m3u8
超级综艺,http://39.134.115.221:8080/PLTV/88888910/224/3221225768/index.m3u8
潮妈辣婆,http://39.134.115.221:8080/PLTV/88888910/224/3221225708/index.m3u8
哒啵赛事,http://39.134.115.221:8080/PLTV/88888910/224/3221225653/index.m3u8
哒啵赛事,http://39.134.115.221:8080/PLTV/88888910/224/3221225749/index.m3u8
哒啵赛事,http://39.134.115.221:8080/PLTV/88888910/224/3221225750/index.m3u8
古装剧场,http://39.134.115.221:8080/PLTV/88888910/224/3221225678/index.m3u8
哈哈炫动SD,http://39.134.115.221:8080/PLTV/88888910/224/3221225720/index.m3u8
黑莓电影,http://39.134.115.221:8080/PLTV/88888910/224/3221225718/index.m3u8
黑莓电影,http://39.134.115.221:8080/PLTV/88888910/224/3221225764/index.m3u8
黑莓电影,http://39.134.115.221:8080/PLTV/88888910/224/3221225769/index.m3u8
黑莓动画,http://39.134.115.221:8080/PLTV/88888910/224/3221225672/index.m3u8
纪实人文,http://39.134.115.221:8080/PLTV/88888910/224/3221225654/index.m3u8
纪实人文,http://39.134.115.221:8080/PLTV/88888910/224/3221225655/index.m3u8
家庭剧场,http://39.134.115.221:8080/PLTV/88888910/224/3221225713/index.m3u8
金牌综艺,http://39.134.115.221:8080/PLTV/88888910/224/3221225711/index.m3u8
金鹰卡通,http://39.134.115.221:8080/PLTV/88888910/224/3221225721/index.m3u8
精品大剧,http://39.134.115.221:8080/PLTV/88888910/224/3221225714/index.m3u8
精品体育,http://39.134.115.221:8080/PLTV/88888910/224/3221225709/index.m3u8
军旅剧场,http://39.134.115.221:8080/PLTV/88888910/224/3221225669/index.m3u8
军事评论,http://39.134.115.221:8080/PLTV/88888910/224/3221225757/index.m3u8
快乐购,http://39.134.115.221:8080/PLTV/88888910/224/3221225710/index.m3u8
